,Product,Requirement ID,Requirement,Standard / Configuration,Status,Measurement Method,Evidence Type,Evidence,Contributor,Remediation Action,Remediation Type,Remediation Status,Additional Notes
Q1,All Products,AV-01,Multi-AZ Deployment,Production workloads must run across >=2 Availability Zones,Not Measured,Manual,Note,All CFN templates have 2 az's,,,No change,No change,
Q1,All Products,SEC-01,Encryption in Transit,All external endpoints must enforce TLS,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-01,Defined DR Strategy,System must have documented disaster recovery architecture,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,LOG-01,Operational Log Retention,Logs retained for >=90 days,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-01,API Latency,Average API latency <=400ms,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-01,Multi-AZ Deployment,Production workloads must run across at least two Availability Zones,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-02,Database High Availability,Production databases must use Multi-AZ configuration,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-03,Health Monitoring,Services must expose health endpoints and monitoring checks,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-04,Automatic Service Recovery,Compute platforms must automatically restart failed workloads,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-05,Uptime Monitoring,System uptime must be continuously monitored,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-06,Load Balancing,Production systems must use load balancing,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-07,Auto Scaling,System must support automatic scaling during demand spikes,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-08,Graceful Degradation,System must continue operating during partial failures,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-09,Peak Window Handling,System must support defined operational peak windows,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-10,Service Dependency Monitoring,All service dependencies must be monitored,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-01,Disaster Recovery Architecture,System must have documented disaster recovery architecture,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-02,Recovery Time Objective,System must support recovery within four hours,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-03,Recovery Point Objective,System must limit data loss to 24 hours or less,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-04,Cross Region DR,Critical environments must support cross region recovery,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-05,DR Testing,Disaster recovery procedures must be tested at least annually,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-06,Backup Verification,Backups must be validated via restore testing,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-07,Automated Backup Scheduling,Backup schedules must be automated,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-01,Encryption in Transit,All external endpoints must enforce TLS,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-02,Encryption at Rest,All persistent data stores must be encrypted,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-03,Secrets Management,Secrets must be stored in a centralized secret manager,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-04,Least Privilege Access,Access permissions must follow least privilege principles,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-05,Web Application Firewall,Production endpoints must use web application firewall protection,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-06,Security Monitoring,System must enable security monitoring tools,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-07,Security Logging,Security related events must be logged,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-08,Credential Rotation,Credentials must be rotated periodically,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-09,Identity Federation,Identity management must support centralized authentication,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-10,Network Isolation,Production compute resources must run in private network segments,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-01,Centralized Logging,System logs must be aggregated into a centralized logging platform,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-02,Log Retention,Operational logs must be retained for minimum 90 days,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-03,Audit Log Retention,Audit logs must be retained for five years,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-04,System Metrics,System must emit operational metrics,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-05,Alerting,Critical system failures must trigger alerts,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-06,Error Rate Monitoring,System error rates must be monitored,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-07,Latency Monitoring,System latency must be continuously measured,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-08,Dependency Monitoring,External dependencies must be monitored,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-01,API Latency,Average API latency must be below 400ms,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-02,Peak Latency,P95 latency must remain below defined threshold,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-03,Load Testing,System must undergo load testing before major releases,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-04,Stress Testing,System must undergo stress testing to determine failure thresholds,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-05,Autoscaling,System must automatically scale under load,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-06,Async Processing,Long running workloads must use asynchronous processing,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-01,Infrastructure as Code,Infrastructure must be provisioned using infrastructure as code,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-02,Environment Isolation,Development and production environments must be isolated,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-03,Configuration Management,System configuration must be version controlled,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-04,Network Segmentation,Network architecture must isolate tiers,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-05,Dependency Version Control,Software dependencies must be version controlled,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-01,Automated Builds,System builds must be automated,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-02,Automated Deployments,Deployments must use automated pipelines,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-03,Rollback Capability,Production deployments must support rollback,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-04,Blue Green Deployment,Production systems must support blue green deployments,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-05,Deployment Logging,Deployment events must be logged,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-01,Tenant Isolation,Data access must be scoped by tenant identifier,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-02,Referential Integrity,Database relationships must enforce integrity constraints,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-03,Input Validation,System inputs must be validated,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-04,Idempotent Operations,Critical endpoints must support idempotency,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-05,Schema Versioning,Database schema changes must be version controlled,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-01,Documentation,System architecture must be documented,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-02,Dependency Updates,Dependencies must be periodically updated,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-03,Monitoring Dashboards,System operational dashboards must exist,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-04,Operational Runbooks,System must have operational runbooks,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-05,Audit Compliance,System must support periodic audit reviews,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-11,Regional service redundancy,Critical services must support deployment across multiple regions where feasible,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-12,Service startup resilience,Services must start automatically after host or container restart,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-13,Dependency timeout management,System integrations must implement connection timeouts and retry logic,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-14,Traffic surge protection,System must implement mechanisms to handle sudden traffic spikes,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-08,Disaster recovery documentation,System recovery procedures must be documented and accessible to operations teams,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-09,Backup monitoring,Backup jobs must be monitored and alert on failure,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-10,Backup integrity validation,Backups must be periodically validated through restore testing,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-11,API authentication enforcement,All APIs must require authentication before processing requests,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-12,Role-based authorization,System must enforce role-based authorization for sensitive operations,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-13,Security incident logging,Security incidents must be recorded in centralized logging systems,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-14,Vulnerability management,System vulnerabilities must be tracked and remediated periodically,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-09,Service uptime metrics,System uptime metrics must be collected and visualized,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-10,Infrastructure resource monitoring,CPU memory and disk utilization must be monitored for production systems,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-11,Alert escalation policies,Alerting systems must include escalation policies for critical incidents,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,OBS-12,Log search capability,System logs must support search and filtering capabilities,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-07,Database query performance monitoring,Database query performance must be monitored and analyzed periodically,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-08,Resource utilization thresholds,System resource usage thresholds must trigger alerts,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-09,Caching strategy,System must implement caching for frequently accessed data where applicable,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-06,Immutable infrastructure deployments,Infrastructure changes must be deployed through version-controlled templates,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,INF-07,Infrastructure change tracking,All infrastructure changes must be traceable through version control history,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-06,Deployment approval controls,Production deployments must require approval before execution,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,CICD-07,Build artifact storage,Build artifacts must be stored in a controlled artifact repository,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-06,Data backup classification,Critical data must be classified and included in backup policies,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DATA-07,Data retention policies,System data must follow defined retention policies,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-06,Operational ownership,Systems must have defined operational ownership,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,GOV-07,Engineering standards compliance,Systems must comply with Bespoke engineering standards policy,Not Measured,Manual,Note,,,,No change,No change,